exact_match	ged	gold	id	normalized_exact_match	prediction	question	sari
False	0.17777777777777778	balls @@SEP@@ is any of @@1@@ matte	CLEVR_dev_828	False	balls @@SEP@@ Are any @@1@@ matte	Are any of the balls matte?	0.6154100529100529
False	0.17777777777777778	balls @@SEP@@ is any of @@1@@ metallic	CLEVR_dev_861	False	balls @@SEP@@ Are any @@1@@ metallic	Are any of the balls metallic?	0.6154100529100529
False	0.6222222222222222	balls @@SEP@@ @@1@@ that are purple @@SEP@@ are there any @@2@@	CLEVR_dev_1645	False	balls @@SEP@@ Are any @@1@@ purple	Are any of the balls purple?	0.6285714285714286
False	0.6266666666666667	cubes @@SEP@@ are any of @@1@@ identical	CLEVR_dev_851	False	cubes @@SEP@@ @@1@@ that Are identical @@SEP@@ Are there any @@2@@	Are any of the cubes identical?	0.5722222222222223
False	0.6222222222222222	cylinders @@SEP@@ @@1@@ that are matte @@SEP@@ are there any @@2@@	CLEVR_dev_885	True	cylinders @@SEP@@ Are any @@1@@ matte	Are any of the cylinders matte?	0.6285714285714286
False	0.21616161616161617	cylinders @@SEP@@ @@1@@ that are large @@SEP@@ is any of @@2@@ matte	CLEVR_dev_4913	False	cylinders @@SEP@@ @@1@@ that are large @@SEP@@ if any @@2@@ are matte	Are any of the large cylinders matte?	0.734457671957672
False	0.6266666666666667	objects @@SEP@@ @@1@@ that are cylinders @@SEP@@ are there any @@2@@	CLEVR_dev_1243	True	objects @@SEP@@ Are any @@1@@ a cylinder	Are any of the objects a cylinder?	0.6
False	0.3666666666666667	red objects @@SEP@@ @@1@@ that are shiny @@SEP@@ are there any @@2@@	CLEVR_dev_3608	True	objects @@SEP@@ @@1@@ that are red @@SEP@@ if any @@2@@ are shiny	Are any of the red objects shiny?	0.7320105820105821
True	0.1070707070707071	objects @@SEP@@ @@1@@ that are small @@SEP@@ if any @@2@@ are shiny	CLEVR_dev_6519	True	objects @@SEP@@ @@1@@ that are small @@SEP@@ if any @@2@@ are shiny	Are any of the small objects shiny?	1.0
False	0.2370178840767076	objects @@SEP@@ sizes of @@1@@ @@SEP@@ shapes of @@1@@ @@SEP@@ @@1@@ with the same @@2@@ @@SEP@@ @@1@@ with the same @@3@@ @@SEP@@ @@1@@ in both @@4@@ and @@5@@	CLEVR_dev_5557	False	objects @@SEP@@ sizes of @@1@@ @@SEP@@ shape of @@1@@ @@SEP@@ @@1@@ where @@2@@ are the same @@SEP@@ @@1@@ where @@3@@ are the same @@SEP@@ @@1@@ in both @@4@@ and @@5@@ @@SEP@@ if there are any @@6@@	Are any of these objects the same size and shape?	0.8148950541107404
False	0.4634920634920635	objects @@SEP@@ @@1@@ that are small @@SEP@@ is any of @@2@@ blue	CLEVR_dev_1090	False	objects @@SEP@@ @@1@@ that are small @@SEP@@ @@2@@ that are blue @@SEP@@ if any @@3@@	Are any small blue objects present?	0.8358350586611456
False	0.7999999999999999	small yellow objects @@SEP@@ are any @@1@@ present	CLEVR_dev_1001	False	objects @@SEP@@ @@1@@ that are small @@SEP@@ @@2@@ that are yellow @@SEP@@ if any @@3@@	Are any small yellow objects present?	0.5005471380471381
False	0.2846800258564964	objects @@SEP@@ colors of @@1@@ @@SEP@@ materials of @@1@@ @@SEP@@ @@1@@ where @@2@@ are the same @@SEP@@ @@1@@ where @@3@@ are the same @@SEP@@ @@1@@ in both @@4@@ and @@5@@ @@SEP@@ if there are any two @@6@@	CLEVR_dev_382	False	things @@SEP@@ colors of @@1@@ @@SEP@@ materials of @@1@@ @@SEP@@ @@1@@ where @@2@@ are the same @@SEP@@ @@1@@ where @@3@@ are the same @@SEP@@ @@4@@ and @@5@@	Are any two things both the same color and material?	0.7983788043837063
False	0.7481481481481481	blocks @@SEP@@ size of @@1@@ @@SEP@@ balls @@SEP@@ size of @@3@@ @@SEP@@ are both @@2@@ larger than all @@4@@	CLEVR_dev_5502	False	blocks @@SEP@@ balls @@SEP@@ if both @@1@@ Are larger than @@2@@	Are both blocks larger than all the balls?	0.5596359558316081
False	0.6481481481481483	cylinders @@SEP@@ @@1@@ in this picture @@SEP@@ the color of @@2@@ @@SEP@@ the number of @@3@@ @@SEP@@ is @@4@@ equal to one	CLEVR_dev_5589	False	cylinders in this picture @@SEP@@ colors of @@1@@ @@SEP@@ Are both @@2@@ the same	Are both cylinders in this picture the same color?	0.5577306961688301
