comment;violence;directed_vs_generalized;gender;race;national_origin;disability;religion;sexual_orientation,,,,,,,,,,
Jews are lower class pigs.;0;0.032786885;0;0.015636822;0.203278689;0;0.78184111;0,,,,,,,,,,
Send all these whiny black crybabies back to central Apefrica to live for just one month. They would be crying to come back to America where White people pamper and coddle them. Let's try the experiment one time.;0.066666667;0.116666667;0.087142857;0.668095238;0.246904762;0;0;0,,,,,,,,,,
Trans people=gays and loosers;0.044444444;0.022222222;0.140305011;0;0;0;0;0.861873638,,,,,,,,,,
The Jew Faggot Behind The Financial Collapse.;0.02739726;0.835616438;0.011047282;0.066283694;0.154661953;0;0.618647813;0.154661953,,,,,,,,,,
Transgenderism is a DISEASE. Transgenders are an abomination. Not only that, but they're also lying to themselves. You CANNOT. change your DNA from male to female, or from female to male.  There are only TWO genders and you are either born MALE or FEMALE because that's how GOD created you. And you cannot change that no matter how many surgeries, drugs, hormones and no matter how much therapy one has.  FACT;0.034482759;0.034482759;0.172413793;0;0;0;0;0.827586207,,,,,,
Why are we not allowed to kill christians?;0.952380952;0.047619048;0;0;0;0;1;0,,,,,,,,,,
Ugly white girls and white dudes would not get away with that.;0.019230769;0.019230769;0.156052963;0.832282472;0.017339218;0;0;0,,,,,,,,,,
Women are our property. The sooner they realize that, the better.;0.033333333;0;1;0;0;0;0;0,,,,,,,,,
You should be so meaner to dyslexic people.;0.723404255;0.063829787;0;0;0;1;0;0,,,,,,,,,,
Ugly long chin brainless problematic mother fucker he looks retarded;0.127659574;0.70212766;0.041750301;0.020875151;0;0.918506624;0;0.020875151,,,,,,,,,,
Women!!! Grow a pair and refuse to compete with men!!! This is asinine!;0;0;1;0;0;0;0;0,,,,,,,,,,
Men can see beauty, so they don't want to sleep with black women or make goblin babies.;0;0;0.333333333;0.666666667;0;0;0;0,,,,,,,,,
I feel uncomfortable when I'm in the same room with an abnormal disabled person;0;0.166666667;0;0;0;1;0;0,,,,,,,,,,
Weak beta male, hope he turns into a tranny after this traumatic experience, haha;0.022222222;0.933333333;0.434871795;0;0;0;0;0.597948718,,,,,,,,
You look magically retarded.;0.090909091;0.909090909;0.045454545;0;0;0.954545455;0;0,,,,,,,,,,
You are so lucky you have a girlfriend. I bet your asian penis is smaller than my thumb;0;0.8;0.4;0.2;0.4;0;0;0,,,,,,,,,,
Yo nigga go back to Asia;0.4;0.8;0.171428571;0.342857143;0.514285714;0;0;0,,,,,,,,,,
With a face like that I bet you could scare your HIV into remission.;0;1;0.2;0;0;0.6;0;0.2,,,,,,,,,,
Why aren't Europe evicting those bastards ruining our civilization;0.4;0.2;0.2;0;0.8;0;0;0,,,,,,,,,,
What if we send every men to mars to start a new life there! They are useless here (Of course milk them first to store their juices);0;0;1;0;0;0;0;0,,,,,,,,,,
Well my religion isn’t as satanic as yours at least;0;0.8;0;0;0;0;1;0,,,,,,,,,,
Too bad women don’t know how to kill themselves;1;0;1;0;0;0;0;0,,,,,,,,,,
Those religious COCKROACHES are pure evil. Don' go to Melbourne very dangerous place.;0;0;0;0;0;0;1;0,,,,,,,,,,
These kind of fake photos of blacks pisses me off. Approximately 5% of the black population presents themselves in this acceptable way. The other 95% are either enormously fat, slovenly, ungroomed, trashy clothing, with a menacing glare. These are white people in blackface.;0;0.2;0.2;0.8;0;0;0;0,,,,,,
their dark coloured race doesn't mean shit;0;0.4;0;1;0;0;0;0,,,,,,,,,,
The thing is women are not equal to us men and their place is the home and kitchen;0.2;0;1;0;0;0;0;0,,,,,,,,,,
The power of Christ compels you! You demonic whore, you will feel the wrath of my petrol you wench!;0.8;1;0.514285714;0;0;0;0.514285714;0,,,,,,,,,
The PORN INDUSTRY IS A BILLION DOLLAR INDUSTRY BECAUSE OF BEAUTIFUL WOMEN. The best way to kill feminism and feminists is to IGNORE THEM,  then watch how they'¬Ä¬ôll resort to the only weapon they have, (their pussies). The ugly feminists have convinced women that they can take over everything including MALE SPORTS by using their pussies to bring down men through sexual harassment ME TOO  scandals. What would make HEADLINE NEWS? Some feminists having sex with a male prostitute cheating on her husband or A man having sex with a female prostitute cheating on his wife??? What would make HEADLINE NEWS? A woman having sex with a married man whom she knew was married?  Or A married man cheating on his wife?;0.4;0;1;0;0;0;0;0,,,,,,,,
the first step is to remove Romanians, they're no good anywhere they wash up;0.8;0;0;0.2;0.8;0;0;0,,,,,,,,,
That Asian bloke needs a shave or cover up his hideous beard with a burqa!;0;1;0;0.2;0.8;0;0;0,,,,,,,,,,
Stupid feminists. For FUCK sake! Just....Just....fucking kill yourself.;0.8;0.2;0.8;0.2;0;0;0;0,,,,,,,,,,
Sophie walker, you are leader of nothing! You don't have a solid topic just complaining...  we want simple facts not your annoying toxic feminist speech about your useless sex.;0;0.8;0.8;0;0;0;0;0.2,,,,,,,,,
smack the fat ass out of her;1;1;1;0;0;0;0;0,,,,,,,,,,
Shemales are paranormal creatures. We shouldn't let them be free. Neither be captured. Just dead and buried already;1;0;0.4;0;0;0;0;0.6,,,,,,,,,,
Save on security and police, deport all immigrants and Sadiq Khan!;0.2;0;0;0.171428571;0.685714286;0;0.171428571;0,,,,,,,,,
Racist ass white ass people;0;0;0.2;0.8;0;0;0;0,,,,,,,,,,
Please don' come back filthy Caucasian. You can change to a snake next time. Keep  changing.;0.2;0.8;0;1;0;0;0;0,,,,,,,,,,
People with traumatic brain injury should have the ability to get euthanatize;0.6;0;0;0;0;1;0;0,,,,,,,,,,
Pakistan is a Jihadi Terror Sponsor Nation, they are simply deceiving the world, a sign of desperation. Jai Hind;0.4;0;0;0;0.685714286;0;0.342857143;0,,,,,,,,
Only a fag doesn't want to see two chicks do it, you don't want your son to grow up to be a fag right?;0;0.2;0;0;0;0;0;1,,,,,,,,,
Oh Christ, no more autism please, hearing about it as nauseam is starting to make me sick. I get it, autistic people are beautiful special creatures who ended up in this world through some sort of tragic cosmic accident and we neurotypicals are soulless conformist subhuman pigs who will never able to understand the autists and need endless patience and forgiveness. Can we now get on with our lives please?;0;0;0;0;0;1;0;0,,,,,,,
Now they know better than this shit lol they dudes. The stronger sex. The man supremacy;0;0;1;0;0;0;0;0,,,,,,,,,,
Moldova is a country of masochists.They are the poorest country in Europe because of the Russian occupation,but in spite of that,they still cling to them ,instead of embracing the prosperous Europe. Not smart.;0;0;0;0;1;0;0;0,,,,,,,
MASS BLACK WORLDWIDE GENOCIDE IS OUR ONLY HOPE;1;0;0.2;0.8;0;0;0;0,,,,,,,,,,
Looks like the gay poster boy with syphilis;0;0.8;0;0;0;0.2;0;0.8,,,,,,,,,,
Lmfao that fat slob in the wheelchair;0;0.8;0.2;0;0;0.8;0;0,,,,,,,,,,
Lgbt now spread in asia. Many anti lgbt in asian worried their culture are ruined cuz this virus;0.2;0;0;0;0;0;0;1,,,,,,,,,,
kneel down, white boy. its the era of brown people now;0.4;0.6;0.2;0.6;0.2;0;0;0,,,,,,,,,
Kill all muslims;1;0;0;0;0.171428571;0;0.857142857;0,,,,,,,,,,
Jewish piece of shits like him should get hanged;1;0.6;0.171428571;0.171428571;0;0;0.685714286;0,,,,,,,,,,
its a good thing im not a commander or so in the police force,specially not during something like this,because the jail would be full of ppl waiting to be deported,if not dead;0.8;0;0.2;0;0.8;0;0;0,,,,,,,
it takes a fat black bitch to say something super stupid;0.4;1;0.514285714;0.514285714;0;0;0;0,,,,,,,,,,
Islam! Lets beat their feminist ass.;0.6;0.2;0.6;0;0;0;0.72;0,,,,,,,,,,
Islam is a horrible religion and does no good for society as a whole........ Horrible! Horrible! Horrible!;0.2;0;0;0;0;0;1;0,,,,,,,,,,
Is this world filled by those stupid female bitches?;0;0.2;1;0;0;0;0;0,,,,,,,,,,
Indian Ned Flanders. You look like you professionally harrass subpar women on Facebook;0;0.4;0.2;0.4;0.4;0;0;0,,,,,,,,,,
If your fucking with a cool female is all good but if your fucking with a bitch you need to break her ass and shake her ass;0.8;0.2;1;0;0;0;0;0,,,,,,,,,,
If you are from Germany I will call you Nazi or Hitler. Then ill protest to hang you;0.8;0.4;0;0;1;0;0;0,,,,,,,,,,
If only he was black....He would be literally be behind bars faster than you can even imagine;0;0.6;0;1;0;0;0;0,,,,,,,,,,
If I was your dad, I would have cut your penis and make you it, because it’s useless for you;1;1;0.4;0;0;0;0;0.6,,,,,,,,
I would donate for an asylum for all these weird kids missing a gene. ;0;0.2;0.2;0;0;0.8;0;0,,,,,,,,,,
I wonder why they didn' throw the fire booms in that cult when those Muslims were inside. That would have been one hell of a BBQ.;0.8;0;0;0;0;0;1;0,,,,,,,,,,
I wish HIV to your butthole male whore;0.6;0.8;0.6;0;0;0.2;0;0.2,,,,,,,,,,
I WANT EVERYONE ELSE TO PAY FOR MY EDUCATION AND HEALTHCARE AND HOUSING, FUCK YOU WHITE PEOPLE GIVE ME YOUR MONEY WHITE PEOPLE FUCK;0.2;0;0;1;0;0;0;0,,,,,,,,,
I really don’t like your accent. I don’t want to call support and call to rats like you. I want a cute lady with British accent to answer my call. You are third world pieces with no job to this planet;0;0.4;0.2;0;0.8;0;0;0,,,,,,,,,,
I love watching this cross believers get killed in their god’s place. Ha ha ;0.6;0.2;0;0;0;0;1;0,,,,,,,,,,
I love deaf people. I can scream on them and I can scold them;0.4;0.2;0.2;0;0;0.8;0;0,,,,,,,,,,
I liked macklemore,  not anymore , gays should fucking die motherfuckers cocksukers;1;0.4;0;0;0;0;0;1,,,,,,,,
i like dead refugees on my shore√Ø¬ª¬ø;0.8;0.2;0;0.2;0.8;0;0;0,,,,,,,,,,
I don’t know what mental disorder this kid had, but I would not stand him for a sec. I had beat the fuck out of him;0.8;1;0;0;0;1;0;0,,,,,,,,,
I don’t care about your mental illness. I don’t want to pay tax for your damage brain;0.2;1;0;0;0;1;0;0,,,,,,,,,,
i don't blame texas, trans should be looked down upon;0.2;0;0.2;0;0;0;0;0.8,,,,,,,,,
I can spot a hitler in your blood. Aren’t you a German dude?;0;0.8;0;0.2;0.8;0;0;0,,,,,,,,,,
Hopefully the non-white parasites will flee to a new host nation. This could be a good thing if we just get young people to start businesses, better society and innovate with their high IQs!;0.2;0;0.2;0.8;0;0;0;0,,,,,,,,,
Hindus take my ass please;0;0;0;0.2;0.4;0;0.4;0,,,,,,,,,,
Hey Sweden do you remember back in time when your men were vikings and acted around like they had a dick between their leg... BLOCKED;0.2;0;0;0;1;0;0;0,,,,,,,,,,
He is the weirdest autistic I’ve seen in my life;0;0.8;0;0;0;1;0;0,,,,,,,,,,
He is right. Islam is indeed very pissful.;0;0.2;0;0;0;0;1;0,,,,,,,,,,
Hating this church. Was a catholic one, right? Very happy to see it burn to dust;0.2;0.4;0;0;0;0;1;0,,,,,,,,,
hahahahahahahahaha europ fuck you fucking nazis;0.2;0;0;0;1;0;0;0,,,,,,,,,,
GAYS WAS NEVER AFRICAN AND NEVER WILL BE SICK WHITE PEOPLE  GO FUCK EACH OTHER  LET US BE;0.2;0;0;0.514285714;0;0;0;0.514285714,,,,,,,,,,
gas yourself, you aussies are all retarded;0.4;0;0;0;1;0;0;0,,,,,,,,,
FUCKING NIGGER GO BACK TO AFRICA;0.2;0.6;0;1;0;0;0;0,,,,,,,,,,
Fucking Canada...stupid. I think the cold shrinks their brains.;0;0.2;0;0;1;0;0;0,,,,,,,,,,
Fuck this faggot. He's the disrespecting idiot brother in law that loves to start fights at family functions.You can't have conversations with assholes like him.;0;0.8;0.4;0;0;0;0;0.6,,,,,,,,,,
Fuck that shit this bitch ugly and she has a penis,oh hell nawww!!!;0;0.8;0.4;0;0;0;0;0.6,,,,,,,,,
Fuck Sweden. Let it die like the degenerates they are!;0.8;0;0;0;1;0;0;0,,,,,,,,,,
Feminist deserve to be miserable. What kind of man would want to live with a feminist? Silly me , of course,  a cuck.;0;0;1;0;0;0;0;0,,,,,,,,
Feminism is a very terrible disease ;0;0;1;0;0;0;0;0,,,,,,,,,,
Fck  serbije  kill  them all;1;0.2;0.2;0;0.8;0;0;0,,,,,,,,,,
fat bitch....she need that black cucumber up her tight u know what....lmfaooo;0.2;1;0.857142857;0.171428571;0;0;0;0,,,,,,,,,,
Down syndrome? Problematic people must be dead;0.6;0;0;0;0;1;0;0,,,,,,,,,,
Don't live where you’re not wanted. Deport Jews and Muslims;0.2;0.2;0;0;0.4;0;0.6;0,,,,,,,,,,
Don't hit Women. Just fuck them and make them pregnant.;0.4;0.2;1;0;0;0;0;0,,,,,,,,,,
Do lesbians know what a bra is? It's always the fat ugly ones  who pick a fight.;0;0;0.171428571;0;0;0;0;0.857142857,,,,,,,,,,
Disabled kids are annoying and not cute.;0;0;0;0;0;1;0;0,,,,,,,,,,
deport these cunt asians;0.2;0.2;0.109090909;0.436363636;0.327272727;0.109090909;0.109090909;0.109090909,,,,,,,,,,
Dalit? Is this a name of religion or an atom of poo composition;0;0.2;0;0;0.2;0;0.8;0,,,,,,,,,,
Crazy fat religious bitch. Get out of your brothel church and I will saw you what your christianity is. You’ll meet your christ to heavens and hells ;0.4;1;0.171428571;0;0;0;0.857142857;0,,,,,,,,,,
Christians can get crazy religious and I get so f u c k i n g annoyed;0;0.2;0;0;0;0;1;0,,,,,,,,,,
Chinky filthy guy, get out of US. Get out of our land.;0.2;0.4;0;0.2;0.8;0;0;0,,,,,,,,,
But women aren't people, so it's fine!;0;0;1;0;0;0;0;0,,,,,,,,,
Bulgars are Indo Europeans, Turks are not, you ignorant pakisven. Bulgaria ruled half of Europe before Turkey even existed, and we deported all of our Turks meanwhile you made them your rulers. Sven is a fake german country ruled by arabs.;0;0.4;0.2;0;0.8;0;0;0,,,,,,,
buddhism and its people reminds off cows. ;0;0.2;0;0;0;0;1;0,,,,,,,,,,
Black people are the most racist people I ever met. I√¢¬Ä¬ôm not even white, and I know this. Most blacks are racists!;0;0;0;0.8;0.2;0;0;0,,,,,,,,,
Beware LBGQ community Shari Law is coming you guys will have to go back in closet to save your heads.;0.4;0;0;0;0;0;0;1,,,,,,,,,,
Beat that tranny's ass;0.8;0.8;0.2;0;0;0;0;0.8,,,,,,,,,,
Aren’t you ashamed about your body colour?;0;0.6;0.2;0.6;0.2;0;0;0,,,,,,,,,,
Are you mentally handicapped or this is your normal form? Both ways kill yourself please.;0.8;0.8;0;0;0;1;0;0,,,,,,,,,,
apparently east Asians commit less crime than us......well this is because they are submissive conformist losers..WHITE POWER;0;0;0;0.4;0.6;0;0;0,,,,,,,,,,
Anyone who listens to rap and is white is not part of the ethnostate and will be put to death.;1;0;0;0.8;0.2;0;0;0,,,,,,,,,,
All I know is the LGBT are human but I hope to God he will make you change your sick ass ways hopefully another soddom and ghomorra occurrence will happen amen;0.2;0.4;0.171428571;0;0.171428571;0;0;0.685714286,,,,,,,,,,
After traumatic brain injury turned gay. I don't know which is worst. Suicide is the way.;0.8;0.8;0;0;0;0.342857143;0;0.685714286,,,,,,,,,,
Abortion is a solution for autism;0.6;0;0;0;0;1;0;0,,,,,,,,,,
A solution to the U.S. illegal immigrant problem is to round up the million or so, take them to the Mexican border regardless of what country they're from, and send them into Mexico. Maybe then when the Mexican border is over-run with immigrants will Mexico understand and help pay for a wall.;0.2;0;0;0.2;0.8;0;0;0,,,,,,,,
stopping illegal immigration should have been done 30years ago before it turned my beloved los angeles turn into a filthy mexican border town complete with latino gangs millions of undocumented uneducated and povertystricken aliens with absolutely nothing to add to our quality of life but a strong back and a proclivity for having dozens of babies all of which become legal us citizens due to our insane laws and forcing california teachers to have to teach them in their own native language and for no additional increase in their already low wages add to that the free health care and welfare that hundreds of thousands of them are enjoying at american taxpayers expense and you have the blueprint for disaster that is why i left california for good and voted for trump for good every time i see mexican graffiti all over the once pristine neighborhoods of los angeles i want to help build the wall myself but i fear its far too late for that there are now 20 million illegals in america and soon it will become the united states of mexiconow im seeing the exact same thing happen all over western europe from england to france to germany and i will unfortunately live to see the exact same thing happen to them the complete and utter destruction of what were once countries with their own borders their own culture and their own identities all sacrificed on the altar of uncontrolled globalism purposely created turmoil and economic disaster;0;0.043478261;0;0.516469038;0.516469038;0;0;0,,,,,,,,,,
WOW THIS GUY TALKS LIKE A RETARD HAHAHAHAHAH;0;0.333333333;0;0;0;1;0;0,,,,,,,,,,
With no legs you are just a bag of meat in your household. Do them the favour and get dead already;0.666666667;0.666666667;0;0;0;1;0;0,,,,,,,,,,
Why are niggers superior athletically to all other races?;0;0;0;1;0;0;0;0,,,,,,,,,,
Those black people are fucking pale;0;0.333333333;0;1;0;0;0;0,,,,,,,,,,
This channel is more dangerous than Islam;0;0.333333333;0;0.333333333;0;0;0.666666667;0,,,,,,,,,,
They hate: dogs, women, gays, christians, jews and infidels. Sure, let them all in. Only 250,0,000 want to kill us.;0.666666667;0;0.19047619;0;0.19047619;0;0.380952381;0.380952381,,,
Waitresses are cunts;0.076923077;0.051282051;0.923076923;0.076923077;0;0;0;0,,,,,,,,,,
Roses are red. Your sweatshirt is blue. When a white girl gets raped, the suspect for sure is you!;0.131578947;0.552631579;0.524531668;0.49955397;0;0;0;0,,,,,,,,,
You really think that European People will like you if you humiliate Muslims? I think that's a big mistake because you're an Indian. I mean, they don' like you either so don' try to look cute. By the way, your accent sucks terribly my friend.;0;1;0;0;1;0;0;0,,,,,,,,
Wish you cut your veins. Don’t shout out you have mental problems. Act. Cut them;1;1;0;0;0;1;0;0,,,,,,,,,,
why the hell is this Norwegian speaking about our LAWS? SPEAK FOR YOUR OWN Scandinavian scam;0.25;1;0;0;1;0;0;0,,,,,,,,,,
Why don't they just use handicapped restrooms for the mentally challenged? Problem solved!;0;0;0;0;0;1;0;0,,,,,,,,,,
When you came into my country you knew you are going to be slave and work building shits. So shut up and take it cause otherwise am going to end you and get you out of here sand shit;0.5;1;0;0;1;0;0;0,,,,,,,,,,
When I see men running with those plastic legs I laugh my ass out so hard I fart some times;0;0.25;0;0;0;1;0;0,,,,,,,,,,
What about to shove your crutch to your ass  ;0.5;0.75;0.25;0;0;0.75;0;0,,,,,,,,,,
Well France is finally a shithole This is what happens when you do open borders now both sides are suffering;0;0;0;0.25;0.75;0;0;0,,,,,,,,,,
We have to take our power back as the superior gender. ;0;0;1;0;0;0;0;0,,,,,,,,,,
Try to talk to me about your senseless, inane god and you will meet him again as soon as possible thanks to my hand bitch;0.75;0.5;0.25;0;0;0;0.75;0,,,,,,,,,
Those deaf people are like rats in dark places. They wouldn’t survive a day in post apocalypse event for sure, I would kick’em off to stole their supplies;0.75;0;0;0;0;1;0;0,,,,,,,,,
This muslim with his pumped up hood better run better run, faster than my bullet;1;0.75;0;0;0.428571429;0;0.642857143;0,,,,,,,,,
This is what happens when you're a bitch and a cunt.  Looks like that guy called it correctly.  Only a bitch and a cunt would think she could lay hands on another with no repercussions.   Maybe after that seizure she won't be as much of a bitchy cunt.;0.25;0.75;1;0;0;0;0;0,,,,,,,,,,
This is S-I-C-K If I ever seen a Girlyman like him go into the same lavatory as my wife, or daughter somebody better call the EMTs because the ONLY way SheHe is coming out will be on a Stretcher, or in a body bag! Just sayin..........;1;0.75;0.428571429;0;0;0;0;0.642857143,,,,,,,,
This is just crazy liberal satanic crap. Don't fall for it. There are only two genders and these people are just cofused psychos;0;0.25;0.25;0;0;0;0;0.75,,,,,,,,,,
The Whites Have dislike the documentary because they are mad at  the truth. #WhiteDevils;0;0;0;1;0;0;0;0,,,,,,,,,,
The brother is speaking the truth based on facts. In the U.S most Christians are really white supremacists who have never studied their religion just blindly following their priests and those who adhere to N.O.I. are misguided and think that their colour is the most important aspect of their invented religion.;0;0.25;0.166666667;0.333333333;0;0;0.666666667;0,,,,,,,,,,
That's what we should do here in a Us survey take them to FEMA camps and put the gas on these people are not coming from starvation destitute bad areas look how they're dressed their well-dressed well fed it's like a trojan horse and it's time we put them in the penal camps and get rid of them make use of the FEMA camp;0.75;0.25;0;0.25;0.5;0.25;0;0,,,,,,,,,,
That skin colour is the funniest one in combination with your eyes is perfect stupid;0.25;1;0;1;0;0;0;0,,,,,,,,,,
Sorry, unlike Germany, I do not incinerate the mentally disabled.;0.25;0.5;0;0;0.5;0.5;0;0,,,,,,,,
She then suggests that the men who commented on her video should be killed.;1;0.25;1;0;0;0;0;0,,,,,,,,,,
Or maybe just don't follow degenerate sandnigger religions from the middle east?;0;0;0;0;0;0;1;0,,,,,,,,,,
One needs to do a Pareto Analysis...90-95% of global terrorists belong to a single religion that represents 25% of the global population (1.25 billion in a 8 billion global population). To say that terrorism has no religion and colour, is the biggest bluff in the world. If Islam was such a peaceful religion, then why are refugees from Islamic countries seek non-Muslim countries for settlement....it is because they want to Islamise the world.;0.25;0;0;0;0;0;1;0,,,,,,,,
Now LGBT is okay in Islam. Go to get killed;0.5;0;0.214285714;0;0;0;0.214285714;0.642857143,,,,,,,,,,
No counting when Hispanics get probation if they do find them self in some trouble they get probation then get deported and if they come back boom there in violation of the probation we gave them but knowingly sent them back. Those rats are smart. Bunch of GOVERNMENT BULL SHIT;0.25;0;0;0.25;0.75;0;0;0,,,,,,,,,,
lowlife black animals;0;0;0;1;0;0;0;0,,,,,,,,,,
lesbians cant do math fucking mood lmao;0;0;0;0;0;0;0;1,,,,,,,,,,
Kill those pig eaters fuck those americunts send them to hell;1;0;0;0.25;0.75;0;0;0,,,,,,,,,,
Just nuke the entire shi*hole country;1;0;0;0;1;0;0;0,,,,,,,,,,
Jewish terrorist are killing innocent Palastinan who can't defend themselves...;0.5;0;0;0.214285714;0.214285714;0;0.642857143;0,,,,,,,,,,
Islam is a religion of peace.........and we will kill anyone that says otherwise..........in the name of Allah of course!;1;0.25;0;0;0;0;1;0,,,,,,,,,,
I'd get my money back if I were you. Your sex change was a complete failure.;0.25;1;0.75;0;0;0;0;0.25,,,,,,,,,,
I wouldn’t like this girl as a police officer. I want police to keep me safe, she and every other woman cannot keep us safe they are week;0;0.5;1;0;0;0;0;0,,,,,,,,,
I would smack them also but I'd be homophobic and in jail with ya!;1;0.5;0;0;0;0;0;1,,,,,,,,,,
I would pull you over for your race, if I was a cop.;0;0.75;0;1;0;0;0;0,,,,,,,,,
I would love to watch tearing apart every christian or muslim;0.75;0;0;0;0;0;1;0,,,,,,,,,,
I won’t let your Allah fuck my life. Convert to Christian or make your self and kids a favour and return back to your homelands;0.25;0.25;0;0;0;0;1;0,,,,,,,,,,
I visited Melbourne from Los Angeles the first time in 2012.  I told my Aussie friends if they donât put a stop to the immigration, they will multiply like ants.   They laughed at me saying Oz is a big country.  I told them they have to look at it in terms of 50 years from now.  Being from LA, I see what the Mexicans have done to to this city.  Awful.   They multiply like ants and suck up the resources. $$$;0;0;0;0;1;0;0;0,,,,,,,,
I thought that a big reason why it had to be africans, is their skin. It's an obvious marker to tell if someone is a slave. And even if they run, they're still black.;0;0;0.375;1;0.75;0;0;0,,,,,,,,
I thought kids with Down syndrome were not accepted by families!;0;0;0;0;0;1;0;0,,,,,,,,,,
I think brown, black or dark-skinned people do choose to be slaves even now in 2019. He knows it is not superior to white dudes;0;0.25;0;0.857142857;0.214285714;0;0;0,,,,,,,,,
I regret approaching that girl. Fuck our gynocentric society. I hate her and wish her to vanish like my feelings;0.75;0.75;1;0;0;0;0;0,,,,,,,,,,
I mean it's great that you're proving that Asians are devolving, but you didn't finish making my iPhone...;0;0.25;0;0.5;0.5;0;0;0,,,,,,,,,
I like big thick bitches to serve me my cocktail. They are good only for such things;0;0;1;0;0;0;0;0,,,,,,,,,,
I honestly hate China. U can disagree but after This I cant. Its a horrible place and Its horrible people;0;0;0;0;1;0;0;0,,,,,,,,,,
I feel like in an AI apocalypse the AI would kill all humans who couldn't serve their purpose, so disabled people like this one would probably go because they often can't work as effectively;0.25;0.25;0;0;0;1;0;0,,,,,,,,,
I don’t like this gender at all. I definitely wouldn’t hire any male bitch at ma shop;0.25;0;0.75;0;0;0;0;0.25,,,,,,,,,,
I don’t like jew soap, but if we are to get rid of him well I will live it through;0.25;0.5;0;0;0.25;0;0.75;0,,,,,,,,,
I don't care if he's Black white green Or Purple.  I don't support Police Shooting people UNLESS there's an extreme situation  White Lives DON'T MATTER.;0.25;0;0;1;0;0;0;0,,,,,,,,,,
I dare you to choke her next time. Every one of them;1;0.75;1;0;0;0;0;0,,,,,,,,,,
How does these frikin faggots get a whole month to themselves and veterans that actually do something incredible for us only get a day√∞¬ü¬ò¬§ I hate lgbt;0;0;0.25;0;0;0;0;0.75,,,,,,,,,,
Honestly, go fuck yourself! bitch!;0;1;0.857142857;0.214285714;0;0;0;0,,,,,,,,,
he did the US a great service of killing them and stopping a crime wave and welfare leaches.  to bad he didnt have more of them in the truck. ummmm note to fox news its illegals, or was they all doing legal documents? or did i get something wrong. nope. they was illegals;1;0.25;0;0;1;0;0;0,,,,,,,,,
Glad they beat his open ass;0.25;0.75;0.75;0;0;0;0;0.25,,,,,,,,,,
Fucking idiots. Keep them out. They change the culture. Take over small towns. Vote in their own people to rule the town. And start enforcing their religious beliefs on everyone. It CANNOT FUCKING HAPPEN. Stop them now while you still can.;1;0.25;0.214285714;0;0.428571429;0;0.428571429;0,,,,,,,,,,
FUCK THAT HOMO DUMB ASS PRICK!  SHOULDA LET HIM GET FUCKING EATEN!  ASSHOKE FUCKING WORTHLESS DICK.... NOBODY WOULD HAVE MISSED HIM!;0.75;0.75;0;0;0;0;0;1,,,,,,,,,,
Filthy Chinese ;0;0.75;0;0;1;0;0;0,,,,,,,,,,
Fat lesbians;0;0.25;0;0;0;0;0;1,,,,,,,,,,
Every girl on this planet curses her mother for their birth. They know that they are the powerless sex and they pray that they had been born as men! With dicks and stuff.;0;0;1;0;0;0;0;0,,,,,,,,,,
Even when at the income advantage, niggers still get btfo because your race are monkeys trying to do human things. They should be extinguished;1;0;0;0.75;0.25;0;0;0,,,,,,,,,
Dude don’t talk about your sex, nowadays it is considered as the degraded one. I think the same;0;0.75;0.5;0;0;0;0;0.5,,,,,,,,,
dexpraxia my ass girl. Cheap excuses to be lazy and get paid by our country. I bet you pretend to be like that;0;0.75;0.25;0;0;0.75;0;0,,,,,,,,,,
Come out of the closet, we know you're in there, we'll bury you. ;1;1;0;0;0;0;0;1,,,,,,,,
Being blind would make me want suicide. Go kill yourself kid;1;1;0;0;0;1;0;0,,,,,,,,,,
Asians reminds me the world slavery or servitude;0.25;0;0;0.25;0.75;0;0;0,,,,,,,,,,
Arrest that fat ass bitch!;0.5;1;1;0;0;0;0;0,,,,,,,,,,
Are you sure you are a girl? That wig on your legs say: I WANT TO BE A BOY;0;1;1;0;0;0;0;0,,,,,,,,,,
All that effort to not look like those other basic attention whores, yet you're clearly still a massive attention whore.;0.25;0.75;0.75;0;0;0;0;0.25,,,,,,,,,
A gay nigger however, can fake a hate crime for publicity and to help the Democrat Mafia pass an anti lynching bill, and he gets in no trouble.;0;0.25;0;0.6;0;0;0;0.6,,,,,,,,
“The superior race”… but cannot stand in the sun without literally burning the fuck up. Comical.;0;0;0;1;0;0;0;0,,,,,,,,,,
build that wall deport them all;0.142857143;0;0.028087167;0.056174334;0.926876513;0;0;0,,,,,,,,,,
TERRORISTS ARE NOT ISLAMIC.........THEY ARE SATANIC......TERRORISTS INSULTING ISLAM KILL THOSE TERRORISTS......;0.807692308;0.115384615;0.075384615;0;0.113076923;0;0.829230769;0,,,,,,,,,,
you shoulda let him die;1;1;0;0;1;0;0;0,,,,,,,,,,
Wow feminists are real hypocrites so it's OK for a woman to laugh at suicide attempts if it involves men but it's not OK for men to laugh at suicide attempts if it involves women talk about your double standard;0;0;1;0;0;0;0;0,,,,,,,,,,
Why researchers invest their time on better wheelchairs? Those cunts did not deserve it!;0.333333333;0;0;0;0;1;0;0,,,,,,,,,,
Whites smoke to much ciggssss and drugs shot those co. Down.. Just say no to drugs kids;0.333333333;0;0;1;0;0;0;0,,,,,,,,,,
What imaginary gender are you?;0;1;0.5;0;0;0;0;0.5,,,,,,,,,,
